telnet@STP_A#show ipv6 route 
IPv6 Routing Table - 400 entries:
"Type Codes:  C - Connected, S - Static, R - RIP, O - OSPF, B - BGP, I - ISIS"
Type IPv6 Prefix                Next Hop Router           Interface  Dis/Metric
O1 ::/0                         fe80::20b:bfff:fe27:4800  e 1/1       110/1170
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2001:da8:a0:1001::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1170
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2001:da8:200::/48            fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200::1/128          fe80::20b:bfff:fe27:4800  e 1/1       110/5130
O1 2001:da8:200::2/128          fe80::20b:bfff:fe27:4800  e 1/1       110/6130
O1 2001:da8:200::3/128          fe80::20b:bfff:fe27:4800  e 1/1       110/7130
O1 2001:da8:200::4/128          fe80::20b:bfff:fe27:4800  e 1/1       110/8130
O1 2001:da8:200::5/128          fe80::20b:bfff:fe27:4800  e 1/1       110/8131
O1 2001:da8:200::6/128          fe80::20b:bfff:fe27:4800  e 1/1       110/7131
O1 2001:da8:200::7/128          fe80::20b:bfff:fe27:4800  e 1/1       110/6131
O1 2001:da8:200::8/128          fe80::20b:bfff:fe27:4800  e 1/1       110/6130
O1 2001:da8:200::9/128          fe80::20b:bfff:fe27:4800  e 1/1       110/5130
O1 2001:da8:200::10/128         fe80::20b:bfff:fe27:4800  e 1/1       110/4130
O1 2001:da8:200::11/128         fe80::20b:bfff:fe27:4800  e 1/1       110/3130
O1 2001:da8:200::12/128         fe80::20b:bfff:fe27:4800  e 1/1       110/2130
O1 2001:da8:200::13/128         fe80::20b:bfff:fe27:4800  e 1/1       110/3130
O1 2001:da8:200::14/128         fe80::20b:bfff:fe27:4800  e 1/1       110/4130
O  2001:da8:200:32::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/6030
O  2001:da8:200:36::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/7030
O  2001:da8:200:40::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/8030
O  2001:da8:200:44::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/8031
O  2001:da8:200:46::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/9030
O  2001:da8:200:48::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/8031
O  2001:da8:200:52::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/7031
O  2001:da8:200:56::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/6031
O  2001:da8:200:60::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/6030
O  2001:da8:200:64::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/5030
O  2001:da8:200:68::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/4030
O  2001:da8:200:72::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/3030
O  2001:da8:200:76::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/3030
O  2001:da8:200:80::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/4030
O  2001:da8:200:84::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/5030
O  2001:da8:200:88::/64         fe80::20b:bfff:fe27:4800  e 1/1       110/2030
O1 2001:da8:200:100::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2001:da8:200:101::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2001:da8:200:102::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2001:da8:200:102:219:d1ff:fe99:a570/128
                                fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
O1 2001:da8:200:200::/56        fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
O1 2001:da8:200:200::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
O1 2001:da8:200:9000::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:9001::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:9002::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:9003::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:9004::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:9005::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:9006::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:9007::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:9008::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:9009::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:900a::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:900b::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:900c::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:900d::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:900e::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1250
O1 2001:da8:200:900f::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:a000::/56       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:c000::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/1230
O1 2001:da8:200:e219::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O1 2001:da8:200:e21f::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O  2001:da8:200:f000::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O  2001:da8:200:f001::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1050
O  2001:da8:200:f008::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
O  2001:da8:200:f009::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/1060
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O  2001:da8:200:f00a::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/3020
O  2001:da8:200:f010::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1120
O1 2001:da8:200:f221::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
O  2001:da8:200:f222::/64       fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
O1 2001:da8:200:f241::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/2020
O  2001:da8:200:f260::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/1130
O  2001:da8:200:f261::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/1220
O1 2001:da8:200:fffe::/64       fe80::20b:bfff:fe27:4800  e 1/1       110/1160
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2001:da8:200:ffff::1/128     fe80::201:e8ff:fe1f:3547  e 1/2       110/1150
O1 2001:da8:200:ffff::3/128     fe80::201:e8ff:fe1f:3547  e 1/2       110/1220
